"구분(1)","등록인구(1)","등록인구(2)(1)","등록인구(3)(1)",2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"인구추이","세대당인구","세대당인구","세대당인구",2.721433059,2.660020708,2.600000000,2.580000000,2.490000000,2.480000000,2.440000000,2.440000000,2.440000000,2.430000000,2.410000000,2.390000000,2.370000000,2.340000000,2.290320198,2.248150000
"인구추이","65세이상고령자","65세이상고령자","65세이상고령자",693225.000000000,735902.000000000,786580.000000000,852235.000000000,898700.000000000,942946.000000000,1007572.000000000,1049425.000000000,1110995.000000000,1167177.000000000,1221616.000000000,1267563.000000000,1300877.000000000,1365126.000000000,1416131.000000000,1485272.000000000
"인구추이","세대","세대","세대",3780305.000000000,3871024.000000000,3978938.000000000,4046086.000000000,4097562.000000000,4116660.000000000,4224181.000000000,4192752.000000000,4177970.000000000,4182351.000000000,4194176.000000000,4189948.000000000,4189839.000000000,4220082.000000000,4263868.000000000,4327605.000000000
"인구추이","인구","계","소계",10287847.000000000,10297004.000000000,10356202.000000000,10421782.000000000,10456034.000000000,10464051.000000000,10575447.000000000,10528774.000000000,10442426.000000000,10388055.000000000,10369593.000000000,10297138.000000000,10204057.000000000,10124579.000000000,10049607.000000000,10010983.000000000
"인구추이","인구","계","남자",5128752.000000000,5123738.000000000,5145481.000000000,5174655.000000000,5184732.000000000,5181359.000000000,5236742.000000000,5208492.000000000,5159665.000000000,5126351.000000000,5109013.000000000,5063550.000000000,5007379.000000000,4957857.000000000,4910849.000000000,4877725.000000000
"인구추이","인구","계","여자",5159095.000000000,5173266.000000000,5210721.000000000,5247127.000000000,5271302.000000000,5282692.000000000,5338705.000000000,5320282.000000000,5282761.000000000,5261704.000000000,5260580.000000000,5233588.000000000,5196678.000000000,5166722.000000000,5138758.000000000,5133258.000000000
"인구추이","인구","한국인","소계",10173162.000000000,10167344.000000000,10181166.000000000,10192710.000000000,10200827.000000000,10208302.000000000,10312545.000000000,10249679.000000000,10195318.000000000,10143645.000000000,10103233.000000000,10022181.000000000,9930616.000000000,9857426.000000000,9765623.000000000,9729107.000000000
"인구추이","인구","한국인","남자",5074686.000000000,5062492.000000000,5062107.000000000,5063188.000000000,5061809.000000000,5059269.000000000,5111259.000000000,5073899.000000000,5041336.000000000,5007869.000000000,4979768.000000000,4930943.000000000,4876789.000000000,4830206.000000000,4773899.000000000,4744059.000000000
"인구추이","인구","한국인","여자",5098476.000000000,5104852.000000000,5119059.000000000,5129522.000000000,5139018.000000000,5149033.000000000,5201286.000000000,5175780.000000000,5153982.000000000,5135776.000000000,5123465.000000000,5091238.000000000,5053827.000000000,5027220.000000000,4991724.000000000,4985048.000000000
"인구추이","인구","외국인","소계",114685.000000000,129660.000000000,175036.000000000,229072.000000000,255207.000000000,255749.000000000,262902.000000000,279095.000000000,247108.000000000,244410.000000000,266360.000000000,274957.000000000,273441.000000000,267153.000000000,283984.000000000,281876.000000000
"인구추이","인구","외국인","남자",54066.000000000,61246.000000000,83374.000000000,111467.000000000,122923.000000000,122090.000000000,125483.000000000,134593.000000000,118329.000000000,118482.000000000,129245.000000000,132607.000000000,130590.000000000,127651.000000000,136950.000000000,133666.000000000
"인구추이","인구","외국인","여자",60619.000000000,68414.000000000,91662.000000000,117605.000000000,132284.000000000,133659.000000000,137419.000000000,144502.000000000,128779.000000000,125928.000000000,137115.000000000,142350.000000000,142851.000000000,139502.000000000,147034.000000000,148210.000000000
"인구추이","인구밀도 및 면적","인구밀도 및 면적","인구밀도(명/㎢)",16993.718080000,17008.686070000,17108.463120000,17219.000000000,17274.991326185,17288.701733300,17472.850000000,17396.961510000,17255.153470000,17164.546730000,17133.877350000,17013.011750000,16861.000000000,16728.127760000,16604.362190000,16540.600000000
"인구추이","인구밀도 및 면적","인구밀도 및 면적","면적",605.391177500,605.396793000,605.326260300,605.250000000,605.270000000,605.253717800,605.250000000,605.207639100,605.177230000,605.204160000,605.209950000,605.250742800,605.200000000,605.242806900,605.238966000,605.237001600
